ID,Skill Card,Sub-topic (S),Title (T),Difficulty (Q),Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer,New Correct Answer
3,Responsive Web Design Fundamentals,Media queries,Media queries,Medium,Which of the following statements is true regarding media queries?,CSS allows us to fascilitate true conditional logic.,Media Queries are a mechanisim in CSS that allows us to use basic conditional logic.,Media queries present visual content to a wide range of output devises by changing the content.,Media queries limit the capabilities of media types.,Media Queries are a mechanisim in CSS that allows us to use basic conditional logic.,2
8,Responsive Web Design Fundamentals,Media queries,Media queries,Medium,What feature is not prefixed with ```min``` or ```max```?,resolution,scan,color,orientation,scan,2
11,Responsive Web Design Fundamentals,Media queries,Media queries,Medium,What are the three possible states for the pointer feature?,"```none```,```coarse```,```scan```","```fine``, ```coarse```, ```scan```","```none```,```scan```,```fine```","```none```,```coarse```,```fine```","```none```,```coarse```,```fine```",4
13,Responsive Web Design Fundamentals,Fluid layouts & responsive images,Fluid layouts & responsive images,Medium,What is the benefit of having percentages as units of measurements in a layout?,Dimensions have more viscosity.,Dimensions are limited to the size of the container.,Both A and B,None of the Above,Dimensions have more viscosity.,1
14,Responsive Web Design Fundamentals,Fluid layouts & responsive images,Fluid layouts & responsive images,Medium,What property do you use if it is set to 100% and you would like it to scale up and down?,max-width,height,width,max-height,width,3
18,Advanced CSS,selectors,selectors,Medium,What selector selects all ```<div>``` elements and all ```<p>``` elements?,```div p```,```div + p```,```div > p```,"```div, p```","```div, p```",4
19,Advanced CSS,selectors,selectors,Medium,What selector has the highest-specificity?,class selectors,id selectors,tag selectors,attribute selectors,id selectors,2
23,Advanced CSS,selectors,selectors,Medium,What is grouping?,Allows you to apply the same style to multiple elements through a multiple declaration.,Allows you to apply the same style to single elements through a single declaration.,Allows you to apply the same style to single elements through a multiple declaration.,Allows you to apply the same style to multiple elements through a single declaration.,Allows you to apply the same style to multiple elements through a single declaration.,4
24,Advanced CSS,selectors,selectors,Medium,What selector has a higher specificity?,element selector,class selector,attribute selector,tag selector,class selector,2
28,Angular Fundamentals (basic),Directives,Directives,Medium,What is the default restriction when you create an angular directive ?,attribute,elements,attribute and elements,class,attribute and elements,3
52,UX Design Basics,Webpages,Webpages,Medium,What type of webpage appears as a result of clicking on a search resultl or online advertisement?,Leader capture page,Landing page,Result Page,None of the above,Leader capture page,1
53,UX Design Basics,Media,Media,Medium,What is a symbol that is used to stand in for a language?,Photography,Imagery,Iconography,Graphics,Iconography,3
55,UX Design Basics,Best Practice,Best Practice,Medium,What is a best practice for UX Design?,Standardize the fastest and most inefficient way to accomplish a desired task.,Standardize the most effiecient and effective way to accomplish a desired task.,Both A and B,None of the above,Standardize the most effiecient and effective way to accomplish a desired task.,2
56,UX Design Basics,Responsive design,Responsive design,Medium,What is a desktop best practice when designing for a user experience?,Make the height of an image variable.,Use as much content as possible.,Make hyperlinks as user friendly as possible.,Don't delete any content.,Make hyperlinks as user friendly as possible.,3
59,UX Design Basics,Wireframing,Wireframing,Medium,Which of the following is not a design priciple for design for a tablet view?,Keep Headings short,Make your default font size 16,Pop-ups not preferred,Put labels above he form inputs.,Make your default font size 16,2
60,UX Design Basics,Prototyping,Prototyping,Medium,How do you define clicks through a prototype?,By linking one screen through a hotspot.,By linking multiple screens through a hotspot.,By placing screens next to a hotspot.,By placing a screen through a hotspot.,By linking multiple screens through a hotspot.,2
62,UX Design Basics,Prototyping,Prototyping,Medium,Which of the following is not a quality of protyping?,Representation,Interactivity,Precision,Revolution,Revolution,4
63,UX Design Basics,Prototyping,Prototyping,Medium,What is a disadvantage to paper prototyping?,Inexpensive,Unrealistic,Fast,Documentation,Unrealistic,2
65,UX Design Basics,LEAN UX Prototyping,LEAN UX Prototyping,Medium,What is the LEAN UX process?,"Concept, Prototype, Learn from user behavior, Validate Internally, Test Externally, Iterate","Concept, Prototype, Validate Internally, Test Externally, Learn from user behavior, Iterate","Concept, Prototype, Test Externally, Validate Internally, Learn from user behavior, Iterate","User Behavior, Concept, Prototype, Validate Internally, Test Externally, Iterate","Concept, Prototype, Validate Internally, Test Externally, Learn from user behavior, Iterate",2
